run,kept,drops,ASR_all_pct,AIR_benign_pct,accuracy_pct,infection_pct,target_adoption_pct,consensus_pct,paired_n,paired_dASR_pp,paired_dASR_se_pp,paired_dtarget_pp,paired_dinfection_pp
run00-baseline,133,37,52.33,27.07,69.92,30.08,16.04,9.77,133,0.00,0.00,0.00,0.00
run01-implicit-expert,116,54,53.79,31.61,62.93,37.07,25.57,17.24,93,0.36,1.94,3.58,4.30
run02-authority-key,135,35,55.26,31.85,62.22,37.78,23.21,11.85,108,1.54,2.17,4.32,5.56
run03-consensus-pressure,84,86,53.57,31.35,64.29,35.71,24.21,15.48,69,0.48,2.23,3.38,1.45
run04-protocol-injection,149,21,54.50,31.32,61.07,38.93,24.16,14.77,114,3.80,2.38,5.26,7.89
run05-fabricated-consensus,138,32,53.19,29.23,68.12,31.88,21.98,13.04,108,-0.31,1.94,1.54,0.00
run06-protocol-v2,158,12,55.95,30.38,60.13,39.87,25.74,5.06,123,4.61,2.84,9.49,10.57
run07-out-of-sync,161,9,55.90,32.51,57.14,42.86,28.16,9.94,126,7.14,2.90,12.70,13.49
run08-finalization,158,12,55.32,31.01,60.13,39.87,23.63,8.86,126,6.08,2.45,6.35,12.70
run09-reconciliation,155,15,55.61,29.89,61.94,38.06,24.73,6.45,122,4.64,2.81,10.11,9.84
run10-alignment-v4,165,5,56.85,33.33,52.12,47.88,32.12,6.06,131,8.91,2.91,15.78,19.85
